,age_group,sex,g_stage,n,group_sum,frac
0,20,F,G1,16179,17614,0.91853
1,20,F,G2,1387,17614,0.07874
2,20,F,G3a,29,17614,0.00165
3,20,F,G3b,11,17614,0.00062
4,20,F,G4,11,17614,0.00062
5,20,F,G5,11,17614,0.00062
6,20,M,G1,9454,10415,0.90773
7,20,M,G2,934,10415,0.08968
8,20,M,G3a,15,10415,0.00144
9,20,M,G3b,11,10415,0.00106
10,20,M,G4,11,10415,0.00106
11,20,M,G5,11,10415,0.00106
12,30,F,G1,25178,30314,0.83057
13,30,F,G2,4930,30314,0.16263
14,30,F,G3a,148,30314,0.00488
15,30,F,G3b,28,30314,0.00092
16,30,F,G4,15,30314,0.00049
17,30,F,G5,15,30314,0.00049
18,30,M,G1,17847,22354,0.79838
19,30,M,G2,4338,22354,0.19406
20,30,M,G3a,92,22354,0.00412
21,30,M,G3b,36,22354,0.00161
22,30,M,G4,22,22354,0.00098
23,30,M,G5,19,22354,0.00085
24,40,F,G1,38234,53330,0.71693
25,40,F,G2,14241,53330,0.26704
26,40,F,G3a,624,53330,0.0117
27,40,F,G3b,141,53330,0.00264
28,40,F,G4,50,53330,0.00094
29,40,F,G5,40,53330,0.00075
30,40,M,G1,29611,44743,0.6618
31,40,M,G2,14351,44743,0.32074
32,40,M,G3a,551,44743,0.01231
33,40,M,G3b,126,44743,0.00282
34,40,M,G4,58,44743,0.0013
35,40,M,G5,46,44743,0.00103
36,50,F,G1,44174,86281,0.51198
37,50,F,G2,38129,86281,0.44192
38,50,F,G3a,3091,86281,0.03582
39,50,F,G3b,630,86281,0.0073
40,50,F,G4,169,86281,0.00196
41,50,F,G5,88,86281,0.00102
42,50,M,G1,40460,76609,0.52814
43,50,M,G2,33280,76609,0.43441
44,50,M,G3a,2165,76609,0.02826
45,50,M,G3b,445,76609,0.00581
46,50,M,G4,135,76609,0.00176
47,50,M,G5,124,76609,0.00162
48,60,F,G1,38250,105395,0.36292
49,60,F,G2,55072,105395,0.52253
50,60,F,G3a,8888,105395,0.08433
51,60,F,G3b,2526,105395,0.02397
52,60,F,G4,520,105395,0.00493
53,60,F,G5,139,105395,0.00132
54,60,M,G1,34230,87885,0.38949
55,60,M,G2,45662,87885,0.51957
56,60,M,G3a,6010,87885,0.06838
57,60,M,G3b,1475,87885,0.01678
58,60,M,G4,332,87885,0.00378
59,60,M,G5,176,87885,0.002
60,70,F,G1,15597,76838,0.20299
61,70,F,G2,41234,76838,0.53664
62,70,F,G3a,14266,76838,0.18566
63,70,F,G3b,4704,76838,0.06122
64,70,F,G4,883,76838,0.01149
65,70,F,G5,154,76838,0.002
66,70,M,G1,11737,59974,0.1957
67,70,M,G2,35228,59974,0.58739
68,70,M,G3a,9411,59974,0.15692
69,70,M,G3b,2919,59974,0.04867
70,70,M,G4,553,59974,0.00922
71,70,M,G5,126,59974,0.0021
72,80,F,G1,841,31696,0.02653
73,80,F,G2,17069,31696,0.53852
74,80,F,G3a,8313,31696,0.26227
75,80,F,G3b,4485,31696,0.1415
76,80,F,G4,929,31696,0.02931
77,80,F,G5,59,31696,0.00186
78,80,M,G1,607,20369,0.0298
79,80,M,G2,11526,20369,0.56586
80,80,M,G3a,5270,20369,0.25873
81,80,M,G3b,2450,20369,0.12028
82,80,M,G4,461,20369,0.02263
83,80,M,G5,55,20369,0.0027
84,90,F,G1,11,5090,0.00216
85,90,F,G2,2046,5090,0.40196
86,90,F,G3a,1627,5090,0.31965
87,90,F,G3b,1122,5090,0.22043
88,90,F,G4,277,5090,0.05442
89,90,F,G5,11,5090,0.00216
90,90,M,G1,11,1937,0.00568
91,90,M,G2,845,1937,0.43624
92,90,M,G3a,616,1937,0.31802
93,90,M,G3b,377,1937,0.19463
94,90,M,G4,84,1937,0.04337
95,90,M,G5,11,1937,0.00568
